"Yr","Movie","DavidScore","MargScore","RvwDate","Link"
"2004","Collateral","4.5","4.5","2004-10-07","http://www.abc.net.au/atthemovies/txt/s1214214.htm",
"2004","Autumn Spring","3.0","3.0","2004-07-22","http://www.abc.net.au/atthemovies/txt/s1157730.htm",
"2004","The Girl Next Door","2.5","3.0","2004-09-02","http://www.abc.net.au/atthemovies/txt/s1185947.htm",
"2004","Kinsey","","4.0","2004-12-02","http://www.abc.net.au/atthemovies/txt/s1252370.htm",
"2004","Dodgeball: A True Underdog Story","2.5","2.5","2004-09-02","http://www.abc.net.au/atthemovies/txt/s1185964.htm",
"2004","Man on Fire","3.0","3.0","2004-08-05","http://www.abc.net.au/atthemovies/txt/s1167190.htm",
"2004","Suddenly 30","2.0","3.5","2004-09-02","http://www.abc.net.au/atthemovies/txt/s1187952.htm",
"2004","The Clearing","3.0","3.5","2004-11-18","http://www.abc.net.au/atthemovies/txt/s1244141.htm",
"2004","Don't Move","2.5","4.0","2004-11-11","http://www.abc.net.au/atthemovies/txt/s1237170.htm",
"2004","Sideways","5.0","4.5","2004-12-02","http://www.abc.net.au/atthemovies/txt/s1249884.htm",
"2004","Owning Mahowny","2.5","3.5","2004-07-08","http://www.abc.net.au/atthemovies/txt/s1148377.htm",
"2004","King Arthur","3.5","2.0","2004-07-15","http://www.abc.net.au/atthemovies/txt/s1148397.htm",
"2004","My Life Without Me","4.0","4.0","2004-07-15","http://www.abc.net.au/atthemovies/txt/s1148389.htm",
"2004","Mean Girls","4.0","3.0","2004-07-01","http://www.abc.net.au/atthemovies/txt/s1137502.htm",
"2004","Under the Radar","2.5","3.5","2004-07-29","http://www.abc.net.au/atthemovies/txt/s1161828.htm",
"2004","Zelary","4.0","3.5","2004-11-25","http://www.abc.net.au/atthemovies/txt/s1249556.htm",
"2004","The Whole 10 Yards","1","3.5","2004-07-08","http://www.abc.net.au/atthemovies/txt/s1148373.htm",
"2004","The Motorcycle Diaries","4.5","4.0","2004-12-02","http://www.abc.net.au/atthemovies/txt/s1252371.htm",
"2004","Spring Summer Fall Winter and Spring","4.5","4.0","2004-09-23","http://www.abc.net.au/atthemovies/txt/s1203169.htm",
"2004","Summer Broadband Specials - Westerns","","","2004-12-16","http://www.abc.net.au/atthemovies/txt/s1266331.htm",
"2004","The Incredibles","4.0","4.0","2004-12-02","http://www.abc.net.au/atthemovies/txt/s1251292.htm",
"2004","Walking Tall","2.0","2.5","2004-08-05","http://www.abc.net.au/atthemovies/txt/s1167206.htm",
